Num of parameters,Depth,K,Embedding length,Model name,Embedding name,top 0.0001,top 0.001,top 0.01,top 0.05,top 0.1,top 0.2,top 0.3,median,auc
404272,32,11,32,MOD_snn_32_11_32-100,EMB_snn_32_11_32-100,0.089736072,0.147043769,0.250699434,0.367820239,0.437979534,0.537513671,0.614694495,0.252340825,0.713687863
599040,4,128,4,MOD_snn_4_128_4-50,EMB_snn_4_128_4-50,0.039021441,0.061069616,0.161432748,0.384663583,0.531726161,0.691744799,0.785581324,0.142636408,0.816518022
599040,4,128,4,MOD_snn_4_128_4-75,EMB_snn_4_128_4-75,0.039902979,0.06370529,0.155616186,0.357934048,0.503267447,0.671250953,0.769214547,0.149536715,0.809884648
599040,4,128,4,MOD_snn_4_128_4-100,EMB_snn_4_128_4-100,0.030114057,0.047192696,0.137667643,0.340475853,0.486424066,0.660802085,0.763843308,0.153358288,0.804466493
599040,4,128,6,MOD_snn_4_128_6-50,EMB_snn_4_128_6-50,0.05171997,0.079636668,0.194086677,0.40113524,0.52655452,0.67190041,0.762335317,0.140074938,0.808464618
599040,4,128,6,MOD_snn_4_128_6-75,EMB_snn_4_128_6-75,0.04912469,0.074658471,0.175705056,0.371533941,0.500706248,0.654135873,0.750484077,0.153853251,0.800353966
599040,4,128,6,MOD_snn_4_128_6-100,EMB_snn_4_128_6-100,0.051889785,0.081633912,0.206950076,0.438823888,0.580034963,0.724482818,0.807296221,0.121269426,0.834764788
599040,4,128,8,MOD_snn_4_128_8-50,EMB_snn_4_128_8-50,0.043983929,0.069794339,0.179438407,0.376895423,0.501112853,0.648700594,0.742758241,0.151699839,0.797694587
599040,4,128,8,MOD_snn_4_128_8-75,EMB_snn_4_128_8-75,0.043420683,0.068001772,0.160192484,0.343896485,0.467898052,0.623842572,0.725886629,0.158764754,0.786955548
599040,4,128,8,MOD_snn_4_128_8-100,EMB_snn_4_128_8-100,0.046393004,0.069901064,0.166120702,0.348893536,0.466986697,0.616208006,0.719297909,0.165837512,0.782092134
599040,4,128,16,MOD_snn_4_128_16-50,EMB_snn_4_128_16-50,0.132952295,0.158101596,0.224889657,0.332375583,0.415641676,0.523093862,0.604894433,0.256214726,0.707116188
599040,4,128,16,MOD_snn_4_128_16-75,EMB_snn_4_128_16-75,0.132851826,0.153067889,0.207564928,0.308968385,0.386124982,0.49166169,0.579679634,0.278079061,0.690075253
599040,4,128,16,MOD_snn_4_128_16-100,EMB_snn_4_128_16-100,0.145057175,0.178679309,0.249236817,0.370746753,0.452985714,0.553923578,0.636564151,0.241466093,0.725873798
599040,4,128,32,MOD_snn_4_128_32-50,EMB_snn_4_128_32-50,0.179844641,0.252972468,0.376871613,0.523303535,0.607451466,0.710122759,0.779644157,0.111913596,0.830687688
599040,4,128,32,MOD_snn_4_128_32-75,EMB_snn_4_128_32-75,0.213437232,0.287564411,0.422645695,0.569970547,0.653733705,0.750786982,0.813391486,0.095100214,0.855041247
599040,4,128,32,MOD_snn_4_128_32-100,EMB_snn_4_128_32-100,0.16431549,0.238197731,0.373870991,0.532268144,0.622018494,0.728662728,0.798097322,0.102160968,0.841792008
604044,8,63,4,MOD_snn_8_63_4-50,EMB_snn_8_63_4-50,0.035367182,0.052796286,0.160101889,0.40424624,0.548865208,0.711394707,0.798055384,0.131634128,0.82378306
604044,8,63,4,MOD_snn_8_63_4-75,EMB_snn_8_63_4-75,0.034595166,0.050979113,0.151032667,0.367682569,0.507307414,0.673260554,0.774266693,0.143008997,0.810209836
604044,8,63,4,MOD_snn_8_63_4-100,EMB_snn_8_63_4-100,0.037169788,0.054867571,0.149716003,0.359558336,0.498794185,0.658017426,0.755832868,0.15236777,0.800254255
604044,8,63,6,MOD_snn_8_63_6-50,EMB_snn_8_63_6-50,0.190501016,0.235366065,0.368144389,0.567762691,0.669495125,0.768668113,0.831948005,0.095774535,0.863592895
604044,8,63,6,MOD_snn_8_63_6-75,EMB_snn_8_63_6-75,0.18473656,0.233106371,0.368466783,0.556884796,0.65969285,0.757299111,0.821597841,0.103583824,0.85599569
604044,8,63,6,MOD_snn_8_63_6-100,EMB_snn_8_63_6-100,0.16407125,0.201883164,0.321287056,0.498991412,0.609221077,0.724693742,0.796684927,0.122654867,0.837378842
604044,8,63,8,MOD_snn_8_63_8-50,EMB_snn_8_63_8-50,0.043812945,0.066802322,0.172210511,0.371853594,0.499618801,0.646793769,0.74077662,0.144233155,0.794142891
604044,8,63,8,MOD_snn_8_63_8-75,EMB_snn_8_63_8-75,0.043863697,0.065691591,0.162582672,0.350880529,0.46910337,0.617644882,0.715089077,0.16264807,0.778839016
604044,8,63,8,MOD_snn_8_63_8-100,EMB_snn_8_63_8-100,0.038209432,0.057044158,0.136801779,0.301379823,0.422782624,0.577816213,0.684818365,0.184162068,0.758013905
604044,8,63,16,MOD_snn_8_63_16-50,EMB_snn_8_63_16-50,0.111695155,0.137964505,0.202853814,0.311367995,0.387963145,0.495656018,0.585425905,0.278195842,0.692047849
604044,8,63,16,MOD_snn_8_63_16-75,EMB_snn_8_63_16-75,0.113272376,0.136256729,0.197677569,0.303821582,0.379116276,0.489431062,0.579535598,0.278783805,0.688688378
604044,8,63,16,MOD_snn_8_63_16-100,EMB_snn_8_63_16-100,0.117389997,0.152016874,0.254288807,0.412479369,0.509798622,0.612990422,0.684103583,0.215787783,0.757585056
604044,8,63,32,MOD_snn_8_63_32-50,EMB_snn_8_63_32-50,0.077223615,0.114598107,0.235482538,0.403184462,0.505727988,0.635704591,0.723168906,0.147400096,0.787370133
604044,8,63,32,MOD_snn_8_63_32-75,EMB_snn_8_63_32-75,0.06722093,0.103048558,0.217032268,0.381830873,0.482477499,0.611627953,0.699529857,0.165048914,0.771856938
604044,8,63,32,MOD_snn_8_63_32-100,EMB_snn_8_63_32-100,0.07637913,0.108807484,0.208964259,0.368671011,0.469641168,0.597307642,0.689733191,0.166131098,0.768029176
