layer,neurons per layer,embedding lengths,dropout,samples per perturbagen,model name,embedding name,top 0.0001,top 0.001,top 0.01,top 0.05,top 0.1,top 0.2,top 0.3,median,auc
3,512,16,0.9,16,MOD_triplet_3_512_16_0.9_50-50,EMB_triplet_3_512_16_0.9_50-50,0.078523349,0.106274324,0.199491893,0.315172157,0.424200172,0.617167113,0.796640745,0.1889484,0.802710365
3,512,16,0.9,16,MOD_triplet_3_512_16_0.9_50-100,EMB_triplet_3_512_16_0.9_50-100,0.043451783,0.073031905,0.160118771,0.30501222,0.406116529,0.611640993,0.804497865,0.184209618,0.804558026
3,512,16,0.9,16,MOD_triplet_3_512_16_0.9_100-50,EMB_triplet_3_512_16_0.9_100-50,0.144224613,0.165829449,0.204148475,0.257821175,0.310068155,0.427037051,0.54371045,0.324263608,0.668068495
3,512,16,0.9,16,MOD_triplet_3_512_16_0.9_100-100,EMB_triplet_3_512_16_0.9_100-100,0.070463718,0.101448888,0.165933079,0.249707648,0.322730303,0.44607979,0.546605084,0.320765207,0.671801108
3,512,16,0.5,16,MOD_triplet_3_512_16_0.5_50-50,EMB_triplet_3_512_16_0.5_50-50,0.012001095,0.017252496,0.03978296,0.111913359,0.205476023,0.389451036,0.569099933,0.28230626,0.710784309
3,512,16,0.5,16,MOD_triplet_3_512_16_0.5_50-100,EMB_triplet_3_512_16_0.5_50-100,0.011460407,0.0166957,0.039837998,0.112758742,0.203170385,0.387473058,0.569280373,0.278513856,0.71352852
3,512,16,0.5,16,MOD_triplet_3_512_16_0.5_100-50,EMB_triplet_3_512_16_0.5_100-50,0.021650106,0.023262841,0.034715899,0.080914688,0.140176368,0.258244764,0.374186823,0.435067754,0.560603547
3,512,16,0.5,16,MOD_triplet_3_512_16_0.5_100-100,EMB_triplet_3_512_16_0.5_100-100,0.023154058,0.024351449,0.036718774,0.088741664,0.151395177,0.279148005,0.405958461,0.410007528,0.580050355
3,512,32,0.5,32,MOD_triplet_3_512_32_0.5_50-50,EMB_triplet_3_512_32_0.5_50-50,0.199691263,0.203343637,0.221745635,0.3189562,0.423670858,0.622506375,0.774699873,0.178590369,0.812915261
3,512,32,0.5,32,MOD_triplet_3_512_32_0.5_50-100,EMB_triplet_3_512_32_0.5_50-100,0.175777552,0.193573721,0.216958102,0.306034839,0.413333383,0.637115413,0.777774117,0.178849112,0.81275668
